Power,Row,Action,r0,r1,r2,r3,r4,r5,Effect,Tags,Condition,Detail,Major,Minor,Lesser,Lore
Phaseshift,,Action,,,,,,,,,,"When Phased. the Hero is in a parallel existence
This parallel existence may be a realm. dimension. plane or otherwise. The Hero & GM should decide upon this at creation. 
Items worn/held by the Hero can be Phased/Unphased.
Items Phased must be equal to or less than the Hero's size.
Items require an additional Action to Phase.
Unable to render another living thing invisible.
While in the parallel existence:
The Hero can observe and communicate with the normal existence.
The Hero is unable to otherwise interact with the normal existence and cannot be acted upon.
Example: While Phased. the Hero can talk with his team but he cannot punch a target. Moreover. if the Hero is the target of an attack from the normal existence the attack will pass through the Hero.
The Hero is unaffected by gravity.
The Hero can Fly with a movement of 5m.
Should there be another object or target within the parallel existence. the Phased Hero would interact with them as usual.
Example: If there is a key in the parallel existence. the Hero may Phase. pick up the key. and unphase. bringing the key into the normal existence. Furthermore. if the Hero encounters a being in the parallel existence. they may attack and deal damage to each other. 
The Hero Phased is indistinguible from the Hero Unphased.
",36,N/A,N/A,The Hero can Phase
Phaseshit,,Action,,,,,,,,,,"When Phased. the Hero is in a parallel existence
This parallel existence may be a realm. dimension. plane or otherwise. The Hero & GM should decide upon this at creation. 
Items worn/held by the Hero can be Phased/Unphased.
Items Phased must be equal to or less than the Hero's size.
Items require an additional Action to Phase.
Unable to render another living thing invisible.
While in the parallel existence:
The Hero can observe and communicate with the normal existence.
The Hero is unable to otherwise interact with the normal existence and cannot be acted upon.
Example: While Phased. the Hero can talk with his team but he cannot punch a target. Moreover. if the Hero is the target of an attack from the normal existence the attack will pass through the Hero.
The Hero is unaffected by gravity.
The Hero can Fly with a movement of 5m.
Should there be another object or target within the parallel existence. the Phased Hero would interact with them as usual.
Example: If there is a key in the parallel existence. the Hero may Phase. pick up the key. and unphase. bringing the key into the normal existence. Furthermore. if the Hero encounters a being in the parallel existence. they may attack and deal damage to each other. 
The Hero is noticeably different when Phased.
GM and Player should determine this effect at creation. 
Example: When Phased. the Hero emits a buzzing noise; the Hero’s appearance has a static distortion effect; the Hero glows brightly.
",30,N/A,N/A,The Hero can Phase
Power Lock,,Passive,,,,,,,,,,The Hero is immune to the effects of Sap,5,,,
Prehensile Tongue,,Action,,,,,,,,,,"Grants special Tongue action
Action
Attack deals Crushing Damage
STR Mod d4
Successful hit can either perform Desperate Grab grapple. or Disarm the target
When extended. tongue can be used as a limb
",5,,,
Pufferfish,,Action,,,,,,,,,,"PA to expand and contract.
While expanded. Hero has 0 EL. appears inhuman. and acts as full cover from all directions. He expands to about twice the size. but more round shaped
",8,,,
Quills,,Passive,,,,,,,,,,"Hero cannot pass for a human without a disguise of sorts
Physical contact with the Hero causes 1d4 pts of piercing damage. This includes Melee attacks against the hero and the Hero's melee attacks.
Hero rolls for damage.
If Quills deals damage. any selected toxin or poison is applied. 
",8,,,
Ricochet Run,,Move,3,4,5,5,6,7,Movement Bonus,,,"The Hero moves by bouncing off of objects.
The “Distance” number is a buff to the Hero’s normal AGI Movement number.
The “Bounce” number references the total number of bounces the Hero is capable of per Movement Action.
The Hero does not need to “bounce” to initiate the movement. 
Barreling & Crashing Mechanics do not apply to movement done via Ricochet Run; however. the Hero makes physical contact with the objects he bounces off from. so damage from Quills or other such powers still applies.
",12,8,5,The Hero bounces off of objects. propelling himself.
Ricochet Run,,,2,3,3,4,5,6,Bounces,,,,,,,
Rock Armor,,Action,,,,,,,,,,"Immunity to Elemental DMG & Elemental Effects
Grants Breathless
+5 DS
+15 KBR 
The Hero can choose to activate Rock Weapon and Rock Armor simultaneously. or restrict the activation to one ability.
Deactivates upon KO
",35,N/A,N/A,
Rockweapon,,Action,,,,,,,,,,"The Hero can turn his limbs into a weapon of any size.
Note: If the Hero could not wield a LG weapon. he will not be able to lift his arm if he turns it into a LG weapon.
The Hero can elect to have both limbs different weapons; the Hero can also elect to only transform one limb.
While activated. the transformed limb cannot pass for a normal human
Transformed limbs cannot be used for movement
Action to activate/deactivate
",18,N/A,N/A,The Hero encases his limbs with weapons...made of rocks!
Quicksand & Sandstorm,,,,,,,,,,,,,20,14,8,The Hero can create and manipulate sand.
Quicksand,,Action,1,2,3,4,7,12,Max Quicksand Hexes,,,"Affected hexes are affected with Quicksand.
Anyone standing in an affected hex is Immobile
If a target touches the ground while passing through a quicksand hex. he must make an AGI check. DC defined by rank
Pass: Target continues as normal
Fail: Target is trapped in quicksand. All movement ends. 
If a target is trapped in Quicksand:
Target is immobile
Target may spend his Action to attempt to escape the quicksand. Roll an AGI check same as above
See: Stealth Doc to determine who can notice affected hexes.
If someone is trapped in the quicksand. the quicksand is visible
Hero chooses affected hexes (up to the # specified by rank. in any cohesive formation) ",10,7,4,The Hero turns the ground into quicksand. immobilizing anyone who attempts to pass through!
Quicksand,,,8,11,13,15,20,30,DC to escape,,,,,,,
Sandstorm,,Flash,2,4,5,6,7,10,ATK Penalty,,,"Those inside the storm take Physical damage on upkeep.
The Hero is immune to the damage of his own storm.
Allies are not immune.
Attacking through the storm causes an ATK penalty.
This penalty does not apply when inside the storm and attacking a target also inside the storm. 
The Hero determines the size of the storm. not to exceed max radius.
See: Stealth Doc for visibility details
Flash to activate/deactivate
",15,11,6,The Hero creates a sandstorm. limiting visibility and dealing damage to those caught in the storm.
Sandstorm,,,-,-,1,2,2,3,DMG (s),,,,,,,
Sandstorm,,,1,1,2,2,3,5,Radius,,,,,,,
Sap,,Passive,,,,,,,,,,"Sap allows the Hero to Absorb and Negate a power from a Target.
The Absorbed and Negated power is defined as the Sapped power.
The Sapped power is the target’s most costly SP power.
The Hero may only have one Sapped power at a time.
The Hero may shed an existing Sapped power as a free action. instantly.
Clothes/Armor do not provide protection against the effects of Sap unless specifically stated. 
Power Lock grants immunity from the effects of Sap.
",45,N/A,N/A,The Hero can Sap shit
Physical Contact,,,,,,,,,,,,"Whenever the Hero makes Physical Contact with a target. he may Absorb a power.
The Sapped power is at r1.
The effects of Sap last 1 hour.
",,,,
Maintained Physical Contact,,,,,,,,,,,,"Whenever the Hero maintains Physical Contact with a target for 2 rounds. the Hero Absorbs the power and negates the power from the target.
The Sapped power is at r1.
The effects of Sap last 1 hour.
This includes the Negate ability of Sap. regardless of the Hero shedding the Sapped power. 
",,,,
Seeds,,,,,,,,,,,,,30,TBD,TBD,
Create Seed,,Action,,,,,,,,,,"The Hero creates a seed of a specific tree. The seed is created instantly but the Hero must have a Short Rest before creating another seed. 
The seed must be planted within 1 hour of creation or it dies. 
Seed must be planted in ground that would support plant life. This may include a Hex that has been modified with Wild Growth.
Seed has 1HP with a CS modifier of -20
",,,,
Plant Seed,,Action,,,,,,,,,,"The Hero plants the seed. The seed must be planted in ground that would normally support plant life or a Wild Growth hex.
The tree sprouts the following round.
The tree lasts 24hours or until destroyed.
",,,,
Fruit Tree,,,,,,,,,,,,"Occupies an entire Hex
10HP
Grows 3m high. with fruit branching out 3m
Grows 1 fruit per round
Eating a fruit regens 5HP and offers a free CON check w/a +5 Bonus
Fruit has 2HP & -5CS Mod. 
It is considered a Tiny object
The fruit will rot and lose all benefits after 1 hour of being picked.
Hero can pick & eat a fruit as a single Action.
",,,,
Oak Tree,,,,,,,,,,,,"Occupies an entire Hex
Starts 3m tall
10HP
Provides Full Cover
Each subsequent round. on Hero’s turn. Oak Tree grows 3m taller and gains 5HP. 
Should the tree’s growth become obstructed it does not grow nor gain 5HP. 
Instead. the tree and the object both take 1pt of Physical Damage until one of them is destroyed. 
",,,,
Hive Tree,,,,,,,,,,,,"Occupies an entire Hex
3m tall
10HP
3m Radial AoE
Those in range suffer -3 ATK & EL
Player & GM work out the lore details - does the tree draw a bunch of bugs. release noxious fumes. have a bunch of vines getting in your way.
",,,,
Bunya Pine,,,,,,,,,,,,"Occupies an entire Hex
Height: 10m 
10HP
3m Radial AoE
Whenever a target ends their turn under the Pine. make a Luck Check. DC 3
Pass: No Effect
Fail: Giant Pinecone crashes down on the occupied hex.
3 ATK (for Dodging purposes)
1d6 Physical Damage
Pinecones are considered Small objects 
",,,,
Beanstalk,,,,,,,,,,,,"Occupies an entire Hex
Grows 5m per round
Can be easily scaled",,,,
Earthquake & Rockwall,,,,,,,,,,,,,25,18,10,The Hero moves the ground beneath his feet.
Earthquake,,Action,1d4+3,3d4+2,3d4+5,2d6+10,5d4+10,3d6+20,KBF,,,"Earthquake can be deployed in three different AoE styles.
Hero chooses the type of AoE whenever he declares the action.
KBE is Knockdown
",15,11,6,The Hero causes an earthquake. choosing the shape.
Earthquake,,,2,4,4,5,5,8,Semicircle Range,,,,,,,
Earthquake,,,3,4,4,5,6,10,Beam Range,,,,,,,
Earthquake,,,1,3,3,4,4,6,Radius Range,,,,,,,
Rockwall,,Action,1,3,5,7,10,15,HP,,,"The size listed on the NP represents the number of rock walls the Hero can create: 1 = 1 side of a hex.
The rock walls erupt from the ground to a max height of 3m.
The Hero can choose the exact height. 
The rock walls occupy the edges of a hex; a rock wall cannot cut through a hex.
The rock wall can erupt through most grounds and floors. as long as a rock-like material (dirt. sand. etc.) is present underneath the floor
For complicated scenarios. GM will decide if there is sufficient rock-like material available
The Hero can crumble any or all of his rock walls a Flash
The rock wall could imprison a target by building a wall along all sides of a hex.  
",15,11,6,The Hero can raise the earth up to him to create rock walls.
Rockwall,,,2,4,6,8,10,15,Size,,,,,,,
Rockwall,,,3,7,10,100,100,100,Range,,,,,,,
Shoot Energy,,Action,1d4+1,1d4+2,1d4+3,1d6+5,2d6+6,4d6+6,DMG,,,,25,18,10,
Fireblast & Fireballz,,,,,,,,,,,,Grants Fireblast & Fireballz,25,18,10,The Hero shoots fire
Fireblast,,Action,1d4,1d6,1d6+2,2d6,2d6+3,3d6+5,DMG (E),,,Single Target,20,14,8,The Hero shoots a single blast of fire
Fireballz,,Action,1d4-1,1d4,1d4+1,1d4+1,1d6,1d6,DMG (E),,,The number of fireballs is defined by rank. There are no restrictions on how the Hero designates each fireball. The Hero can send each fireball to a different target. or multiple fireballs to a single target. He must declare all at once and then make the roll for each,20,14,8,The Hero can shoot multiple fireballz
Fireballz,,,2,2,2,3,3,5,# of Fireballzzz,,,,,,,
Slimy Skin,,Passive,,,,,,,,,,+2 AGI Escape checks,2,,,
Snake-like Body,,Passive,,,,,,,,,,"Snake Wrap Grapple
+2 AGI Escape Bonus
+3 STR Grapple Bonus
Hero cannot pass for a human without a disguise of sorts
",5,,,The hero's torso is like a snake I guess?
Grapple Snake Wrap,,Action,,,,,,,,,,"ATK +5
Crushing damage (d4 Str Mod) when maintaining hold
",5,,,
Soar,,Move,2,4,5,6,7,8,Movement,,,"Using Soar puts you in a Hovering state
Soar's movement can be done in any direction. including vertically.
",20,14,8,The Hero can fly. thereby moving in any direction (horizontally & vertically). Soar is a weaker version of “Flight”.
Soaring Flight,,Toggleable,,,,,,,,,,"When Hovering. you are not affected by gravity and do not fall
Flash to activate/deactivate
Hover is deactivated upon KO.
",,,,The Hero is effortlessly hovering in the air. ready to dart in any direction
Passive. Near Future & Far Future Soothsaying,,,,,,,,,,,,,35,25,14,
Passive Soothsaying,,Passive,3,7,12,13,15,25,Initiative Bonus,,,,15,11,6,The Hero can see moments into the future
Passive Soothsaying,,,0,1,1,1,2,3,ATK/EL,,,,,,,
Near Future Soothsaying,,Channel,90,70,60,50,40,25,DC,,,"Start-up: 0i
Cooldown: 0i
Following effectuation of the action:
Roll 1d100
DC Based on Rank
Pass: +10 Global Priority Bonus for 1rnd.
Fail: Hero sees a partial vision of the future. Hero can elect to stack the outcome of this roll with subsequent rolls.
Hero can continue rolling without stacking. 
Subsequent rolls require additional Channeled Actions.
If the outcome of the roll exceeds 100. the Hero suffers a -1 Global Penalty until he rests.
The Hero sees too great or too worrisome of a vision.",15,11,6,
Far Future Soothsaying,,Channel,0,10,20,30,40,60,DC Buff,,,"Channel
Start-up: 10i
Cooldown: 0i
The Hero seeks out a vision; seeking information into the past. present. or future. 
After start-up. The Hero rolls 1d100 + buffs. 
The higher the roll. the more detailed the vision. 
Once this power is used. it cannot be used again until the Hero has had a Long Rest.
",15,11,6,The Hero seeks out a vision; seeking information into the past. present. or future.
Sticky Hands,,Passive,,,,,,,,,,"+2 to STR Grapple & Disarm Checks
The Hero can climb steep or otherwise unclimbable surfaces at half AGI movement.
",4,,,
Sticky Spew,,Flash,6,7,9,11,13,17,DC,,,"Target is covered in a gooey goop. 
Target must pass an escape check vs all limbs being immobilized. 
Effects can stack
Max DC = 2x listed DC
Limb Shot 
-5 ATK
Affects one limb only. Acts as the max application right away. 
Head Shot
-5 ATK
Victim is blind and cannot speak. 
5 HP
",35,25,14,
Super Kinetic Bounce,,Passive,3,3,4,4,5,5,Distance,,,"Upon taking damage. the Hero “bounces” outside of melee range.
Works on all damage types.
The Hero is not required to “bounce” after every attack; however. the DS only activates when the Hero bounces a minimum of 1 meter.
",20,14,8,Whenever the Hero takes damage. he may “bounce” outside of melee range.
Super Kinetic Bounce,,,1,2,2,3,3,5,DS,,,,,,,
Targeted DS,,Flash,2,4,5,7,10,15,DS,,,"Priority EL +20
DS expires at the conclusion of the instance in which it effectuated
",25,18,10,"The Hero can create a DS that lasts an instance
Physical and Elemental damage only
Only afffects the hero using the power"
Targeted DS,,,10,15,20,25,30,45,KBR Bonus,,,,,,,
Torpor,,Channel,,,,,,,,,,"The Hero enters a near lifeless state.
While in this state the Hero appears dead.
Hero can survive for one week in this state.
Startup: 1 Round
Cooldown: 2 Rounds
",3,,,
Triple Jump,,Move,1,2,2,3,3,4,1st Leap Movement,,,"The Hero leaps in an arc
Subsequent Leaps increase movement.
Movement caps out after the third Leap
Using a non-Leap movement resets the movement down to the 1st Leap. 
",10,7,4,The Hero leaps in the air. with each leap carrying him further.
Triple Jump,,,3,5,6,7,8,9,2nd Leap Movement,,,,,,,
Triple Jump,,,6,10,12,14,16,18,3rd Leap Movement,,,,,,,
Uncanny Aim,,Passive,2,4,6,8,10,15,ATK Bonus,,,,20,14,8,
Venom,,Passive,1,1,1,2,2,3,Venom Damage,,,"Venom added to all unarmed melee strikes      Venom add a Neurotoxin counter if the target loses HP.
On hit. the target makes a CON check:
Pass: Ignore Venom;
Fail: Take Venom damage.
Venom ignores DS. HP Shields. and affects the targets HP directly.
",10,,,
Venom,,,2,3,5,10,15,20,DC,,,,,,,
Vine Whip,,Action,7,9,11,13,15,20,Escape DC,,,"On hit. Melee Damage + Tiny Object Mod
Hit can Bind target to the ground. restricted grounded movement
Escape DC defined by Rank
DC Stacks with subsequent hits
HP = 2/r
The Hero can use both Move & Action on Vine Whip to Bind all limbs to the ground. restricting all limbs.
NOTE: The target may remain standing despite having all limbs bound to the ground.
The Hero can hold one end of the Vine freely. allowing the Hero to Vine Whip a target and then throw them like a ball on a chain with their next action. 
",20,14,8,Combination of Spider-Man. Indiana Jones. and a gardener who found a long vine in his yard.
Vine Whip,,,5,10,10,15,15,20,Range,,,,,,,
Vine Whip,,,,,,,,,,,,,,,,
Vine Movement,,Action/Move,4,6,7,8,9,10,Distance,,,"The Hero can swing around with his Vines.
Requires an Action to initiate and Movement to continue
Distance is defined by rank
Vertical Movement upwards counts as 2m for every 1m moved
GM should use common sense approach to answering “are there enough objects for the player to continually swing?”
When in doubt. follow Vine Whip Range
",,,,
WIld Growth,,Action,Single Hex,2,3,4,5,8,Radius,,,"Ranged. Radial AoE. The Hero selects the Epicenter.
Hero transforms Hexes into overgrown vegetation. 
Hexes transformed are considered Rugged Terrain
1HP per Hex
",20,TBD,TBD,
Special Vegetation,,Action,,,,,,,,,,"The Hero can turn any number of Wild Growth hexes into Special Vegetation.
Hero must declare the specific Vegetation that will be growing.
Should the Hero wish to grow a different Special Vegetation he must use another Action.
5HP per Hex
",,,,
Thorny Bramble,,,0,1,1,2,3,5,DMG,,,Entering a Thorny Bramble hex deals Physical Damage. ,,,,
Poison Sumac,,,6,7,8,9,15,20,CON DC,,,"Entering a Poison Sumac hex forces the target to make a CON check.
Pass: No Effect
Fail: Penalty to all future Checks for 24 hours 
",,,,
Poison Sumac,,,6,6,7,8,10,15,Check Penalty,,,,,,,
Burdock,,,6,7,8,9,15,20,AGI DC,,,"Entering a Poison Sumac hex forces the target to make an AGI check.
Pass: No Effect
Fail: EL & Stealth Penalty
The target may spend an Action to remove all burrs. eliminating the penalty.
Penalty does not stack. but if the target removes all burrs only to walk through another patch and fail the check. he will be covered in burrs again.
",,,,
Burdock,,,1,1,2,3,5,8,Stealth Check Penalty,,,,,,,
Burdock,,,0,1,2,3,5,8,EL Penalty,,,,,,,
Viney,,,6,7,8,9,15,20,Escape DC,,,"Entering a Viney Growth hex forces the target to make an Escape Check.
Pass: No Effect
Fail: The target is bound to the Hex
",,,,
Viney,,,1,2,4,6,8,12,Vines HP,,,,,,,
Skunk Cabbage,,,6,7,8,9,15,20,AGI DC,,,"Entering a Skunk Cabbage hex forces the target to make an AGI check.
Pass: No Effect
Fail: The target stinks and is easy to track. Also. the target must make a CON check
Pass: No additional effect
Fail: target is blind for 1 round
",,,,
Skunk Cabbage,,,6,7,8,9,15,20,CON DC,,,,,,,
Thicket,,,,,,,,,,,,"Rugged Terrain
Blocks LoS
3m High
5HP/r",,,,
Winged Fly,,Move,6,8,9,10,11,12,Distance,,,Fly with wings for movement and EL,40,28,16,"Flight’s movement can be done in any direction. including vertically.
Grants “Quick Rise”
R0 - Movement
R2 - Flash
R4 - Free"
Winged Flight,,Toggleable,-2,2,4,6,8,10,EL Modifer,,,"When Flight is active. the Hero is not affected by gravity and does not fall
Flight is deactivated upon KO.
",,,,
Extend/Retract Wings,,Toggleable,,,,,,,,,,"
",,,,Extending/Retracting Wings is an Action The wings are considered limbs. thus can be crippled or destroyed. preventing the Hero from using Flight's abilities Wings cannot be extended or utilized in extremely tight spaces (e.g.. flying up a smokestack. through a narrow tunnel). Wings are not prehensile and cannot hold objects. weapons. or be used for any movement other than flying. If used as a melee weapon. they deal d2 melee damage. KO does not affect wings - if they were extended prior to being KO'd. they remain extended.
Winged Soar,,Move,2,4,5,6,7,8,Movement,,,Like flight but cheaper and no EL bonus,18,13,7,The Hero can fly with the use of his wings. thereby moving in any direction (including vertically).
Winged Soaring Flight,,Toggleable,,,,,,,,,,Not affected by Gravity,,,,No EL bonus or penalty
Extend/Retract Wings,,Toggleable,,,,,,,,,,Extend as limbs. retract to hide,,,,"Extending/Retracting Wings is an Action
The wings are considered limbs. thus can be crippled or destroyed. preventing the Hero from using Flight's abilities
Wings cannot be extended or utilized in extremely tight spaces (e.g.. flying up a smokestack. through a narrow tunnel).
Wings are not prehensile and cannot hold objects. weapons. or be used for any movement other than flying. If used as a melee weapon. they deal d2 melee damage.
KO does not affect wings - if they were extended prior to being KO'd. they remain extended."
Penatrating Gaze,,Passive,,,,,,,,,,See through 1m of any material,10,,,The Hero can see through all but the thickest materials
Super STR,,,,,,,,,See Stat/Universal,,,SD controls STR,45,32,18,
Super AGI,,,,,,,,,See Stat/Universal,,,SD controls AGI,45,32,18,
Super CON,,,,,,,,,See Stat/Universal,,,SD controls CON,45,32,18,
Shoot Lightning,,,,,,,,,,,,,,,,
Lightning Bolt,,Action,1d4,1d6,1d4x2,1d6x2,1d6x3,1d6x4,DMG,,,Range: 50m,25,18,10,
Lightning Bolt,,,0,1,2,2,3,4,ATK Bonus,,,,20,14,8,
Charge,,Action,0,1,2,2,3,3,Lightning Bolt +ATK,,,"So long as the Hero has at least 1 Amp he is considered “Charged”
While charged. the Hero receives ATK bonus to Shoot Electricity;
Amps are lost when KO’d
Amps will dissipate after 5 minutes
Action to charge 1 Amp
Max Amps: 1",20,14,8,
Shock,,Flash,1,1d4,1d6,1d4x2,1d6x2,1d6x3,DMG,,,"Consumes 1 Amp when performed. Cannot be performed without any Amps
Unlike other Flashes. this can be executed simultaneously with another action
Unlike other actions. the Hero can declare Shock at any point (e.g.. while the Hero is being punched by an enemy; while the Hero has contact with a target).
If multiple targets are able to be shocked. the one closest to the Hero will receive the damage. Ties are resolved by die roll. 
As there is no Priority for Shock. there is no opportunity for the target to avoid the damage.",,,,
Big,,Passive,,,,,,,"ATK Penalty: -1
EL Penalty: -3
SL Penalty
Extra Melee Dice: 1
Attack Size Modifier: 1
KBR Bonus: +15
+Melee Range: +1
Size while Enlarged (ft. Approx) 10-15ft (Hero's choice)
Weight while Enlarged (lbs Approx): 300-500
L/T Mod: +1r
Carry Limit: 3x
Run Modifiers: 2x
Cannot be Grappled by those smaller than the Hero
",,,The Hero is a giant,15,,,
Bigger,,Passive,,,,,,,"ATK Penalty: -3
EL Penalty: -5
SL Penalty
Extra Melee Dice: 2
Attack Size Modifier: 2
KBR Bonus: +30
+Melee Range: +2
Size while Enlarged (ft. Approx) 20-30ft (Hero's choice)
Weight while Enlarged (lbs Approx): 1500-2000 (Hero's choice)
L/T Mod: +2r
Carry Mod: 10x
Run Modifiers: 5x
Cannot be Grappled by those smaller than the Hero
",,,The Hero is as tall as a house,30,,,
Biggest,,Passive,,,,,,,"ATK Penalty: -5
EL Penalty: -7
SL Penalty
Extra Melee Dice: 3
Attack Size Modifier: 4
KBR Bonus: +60
+Melee Range: +4
Size while Enlarged (ft. Approx) 50-75ft (Hero's choice)
Weight while Enlarged (lbs Approx): 7000-10000
L/T Mod: +4r 
Carry Mod: 50x
Run Modifiers: 10x
Cannot be Grappled by those smaller than the Hero
",,,The Hero is as tall as King Kong,40,,,
Small,,Passive,,,,,,,"ATK Bonus: +1
EL Bonus: +3
SL Bonus:
Melee Dice Reduction: -1
Attack Size Reduction: -1
KBR Reduction: -15
Size while Enlarged (ft. Approx) 2-3ft (Hero's Choice)
Weight while Enlarged (lbs Approx) 30-50lbs (Hero's Choice)
L/T Reduction: -1r
Carry Reduction: 1/5
Run Modifiers: 1/3
",,,The Hero is as small as a child,15,,,
Smaller,,Passive,,,,,,,"ATK Bonus: +3
EL Bonus: +5
SL Bonus:
Melee Dice Reduction: -2
Attack Size Reduction: -2
KBR Reduction: -30
Size while Enlarged (ft. Approx) 1-2ft (Hero's Choice)
Weight while Enlarged (lbs Approx) 10-15lbs (Hero's Choice)
L/T Reduction: -3r
Carry Reduction: 1/10
Run Modifiers: 1/5
",,,The Hero is as small as a cat,30,,,
Smallest,,Passive,,,,,,,"ATK Bonus: +5
EL Bonus: +7
SL Bonus:
Melee Dice Reduction: -3
Attack Size Reduction: -4
KBR Reduction: -60
Size while Enlarged (ft. Approx) 1/2in - 2in (Hero's Choice)
Weight while Enlarged (lbs Approx) 1-2lbs (Hero's Choice)
L/T Reduction: -5r
Carry Reduction: 1/50
Run Modifiers: 1/10
",,,The Hero is as small as a bug,40,,,